Ticker,count,ann_mean,ann_vol,skew,kurt,sharpe,max_dd
XOM,1822.0,0.16146493746554047,0.311127281727587,-0.223514953679635,5.313297372932849,0.4164370824252672,-0.6034736399124127
CVX,1822.0,0.1249768975596227,0.32240342594959015,-1.1294584465123234,26.35204211630695,0.2886969866572568,-0.5577393963888794
COP,1822.0,0.13438779468488266,0.4068540268961196,-0.6583998096556058,16.16732134643521,0.25190310998458043,-0.6711224751937516
OXY,1822.0,0.024559773349107923,0.5799437758100526,-4.013309827544676,94.33069764464078,-0.012656790118385887,-0.8585350282999764
LNG,1822.0,0.21944127345949013,0.33640147118757,-0.8708246838998734,9.53529175121213,0.557492429499279,-0.5747291005281369
VG,298.0,-0.41097984919512015,0.924466275970256,-1.8552999389959408,13.183313791719637,-0.4790654464169653,-0.7219628576380198
FRO,1822.0,0.3317502912231835,0.5390574729897576,0.12185033137444656,4.454306186883754,0.5562492057853001,-0.5203723756277114
STNG,1822.0,0.2171382470598485,0.5552518847745821,-0.049918504861863666,5.041403891684027,0.3336111990597752,-0.7736644286946955
ET,1822.0,0.13744896583978303,0.3581078833022411,-1.8935811152037303,30.80580350353164,0.2947406934091431,-0.6852482277065315
BIL,1822.0,0.025679374044101356,0.002498312583368576,0.7952509175034392,1.1529512692466297,-2.4899310027535146,-0.0020848929931637735
