,Oil-Only R2,Multi-Factor R2
XOM,0.19462538760272463,0.3566887857151997
CVX,0.1476018829774024,0.35656777771683057
COP,0.21824142580993278,0.40609819406212777
OXY,0.20408941671513825,0.3426845921574214
LNG,0.06494775920992268,0.20116123441670875
VG,0.1377163845115289,0.2165803901090877
FRO,0.013230568638612272,0.07578674367748706
STNG,0.019167199419737324,0.09494256313051674
ET,0.16738272802104404,0.36351019640563154
