,alpha,beta,r2
XOM,0.000519705182246542,0.25652104096704625,0.19462538760272463
CVX,0.0003822080981594286,0.2320804627484571,0.1476018829774024
COP,0.0003237870090623757,0.3557720193612483,0.21824142580993278
OXY,-0.00019837579498488796,0.4919533515421897,0.20408941671513825
LNG,0.0007643091688002494,0.1608976086712192,0.06494775920992268
VG,-0.001939273668947932,0.8585355831674577,0.1377163845115289
FRO,0.0011698682452958898,0.1157657798464061,0.013230568638612272
STNG,0.0006996155589334919,0.14351295971315187,0.019167199419737324
ET,0.0003727042747619369,0.27560267216375234,0.16738272802104404
