,Pre-COVID,COVID,Recovery,Russia-Ukraine,Normalization,12-Day War,Iran Conflict
XOM,-0.07967128289024883,-0.24449611045927588,0.9241190050964838,0.47737776144592403,0.009942443401803835,0.05376349181828699,0.05370493404200838
CVX,0.05326750439826711,-0.1824092932537531,0.6629196958823684,0.35760581479876996,-0.15504836951293333,0.0474763560898992,0.06537806314521077
COP,-0.03734290316950639,-0.28383062454303787,1.2310242024960236,0.39756186759472145,-0.21621297322961586,0.05143526656024289,0.15036140777056484
OXY,-0.2676057825809184,-0.5562129882323004,1.1203624505536016,0.6416806318993513,-0.33087394003171355,0.03591149291248752,0.19195523035885453
LNG,-0.08056491545457323,-0.12700974439005286,1.4759379532892551,0.2696153629283986,0.6205153201454017,0.02755393245125659,0.19272052245349003
FRO,0.5024261311404408,-0.0586173638781069,0.3022494146010004,0.4428665710910422,0.9850903652818426,-0.0932095091751356,-0.00498004146231934
STNG,0.26748253247571463,-0.44494966332918484,0.29220251961600696,2.4365975039296894,-0.21173163380876692,-0.015349778332282682,-0.027953733785293533
ET,0.06834567793030799,-0.416848173912689,0.6135735126442678,0.2881997847297868,0.8187604062372189,0.03718538549991046,0.004777078124149181
BIL,0.02241884728162513,0.0021105074475615826,-0.0012779558355474618,0.014267671485925115,0.12288881229777693,0.0033472890648758025,0.0033610319747277018
VG,,,,,-0.5170271509979367,0.3480420176223813,0.5129147883950909
