,ann_ret,ann_vol
XOM,24.021736703044724,15.351955196013769
CVX,39.07190395306447,20.365738357448173
COP,31.103355887245804,20.788493549933833
OXY,10.204476684338752,26.981486734889703
LNG,16.91223105676911,22.654520293122264
VG,89.8255807068897,62.594240218962504
FRO,54.45770053207518,47.46781895251312
STNG,39.31740877591069,39.17735364512015
ET,31.074051949155585,20.325109866478908
BIL,3.097462246830336,0.20697365197870696
